a	un, uno, una[Article]
to acquire, gain, get, obtain.	acquiro
to act a part.	personam gero
to act as a support.	furcillo
to act foolishly, play the fool, make an ass of one's self.	desipio
to act.	actio
to add to a heap, accumulate, amass.	accumulo
to add together, sum up, make perfect, complete.	consummo
to add, to turn towards, move towards, suggest.	adjicio
to add.	subinfero
to address, encourage.	alloquor
to address, encouragement.	allocutio
to adhere to, begin to cling to.	inhaeresco inheresco
to adhere, stick together.	cohaero, cohero, cohesi, cohesum
to adhere.	inhaero
to adjust, [+ abl.] settle.	compono
to adjust, adapt, accommodate oneself.	accommodo
to administer.	exerceo
to admire, contemplate, observe, look upon.	intueor
to admit, receive.	admitto
to adornment.	ornatus
to advance, go forward, appear, go forth, sally forth.	prodeo
to advance, march on, go, leave.	eo
to affect deeply.	percuto
to affect, afflict, weaken, sap, exhaust, drain.	adficio
to affright.	territo
to aggravate, exacerbate, irritate, make worse, embitter.	exulcero
to agitate, disorder.	turbo
to agree to refer to arbitration, or an arbitrator.	compromitto
to agree, consent /plot, conspire.	consentio
to agree, fix, settle, make arrangements.	condico
to aid, help, assist.	adservio
to all eternity, without end, lifetime, age.	saecula saeculorum
to allow, grant, promise /designate.	annuo
to allow, leave undone.	sino
to allow, permit, let.	permitto, permissi, permissum
to allure, entice, wheedle.	lacto
to ally, make a treaty, make a pact, federate.	foedero
to amass.	conglobo
to amend, correct.	emendo
to animate.	vigoro
to announce officially, pronounce, declare.	denuntio
to announce, declare.	edico
to announce, report, relate.	nuntio
to announce.	intimo
to annoy, incommode.	aggravo
to anoint.	delibuo
to another place, person, end / for another purpose.	alio
to answer for, be responsible for.	praesto presto
to answer, reply, respond.	respondeo, respondi, responsum
to anticipate, instruct, advise, warn.	precipio
to anticipate, take for granted.	praesumo presumo
to appeal, suit.	interpellatio
to appear, come forth.	exorior
to apply marl to the soil.	maro
to apply oneself, concentrate / favor, further, promote.	incumbo
to appoint a person, to add something.	appono
to appoint ahead of time.	praefinio, prefinio
to apportion.	distribuo
to approach, come near /(things) to be added.	accedo
to approach, submit, etc. etc.	succedo
to approach, visit, come to, undertake.	adeo
to approach.	appropinquo
to appropriate unlawfully.	usurpo
to approve fully/ to confirm, prove, establish.	comprobo
to approve.	approbo
to arise in succession.	suborior
to arise, come up, rise up, occur.	emergo, emersi, emersum
to arise.	surgo
to arouse, raise up.	erigo
to arrange, "send out" a letter or ambassador.	dirigo
to arrange, decide, appoint, settle, found, set up.	constituo
to arrange, put in order, draw up (troops).	dispono
to arrive, come up, arrive unexpectedly.	supervenio
to ascend, board.	scando
to ascend, go up, climb, to go inland.	escendo, -scensi, scensum
to ascend, mount, go up.	conscendo
to ascertain.	scisco
to ask for / to pay out, expend, disburse.	erogo
to ask for, beg, request, demand / to sue for.	peto
to ask for, look for, demand, desire, miss.	requiro
to ask someone to do something.	rogo eum ut +subjunctive
to ask the advice of, consult.	consulto
to ask, ask for.	rogo
to ask, demand, require /summon, prosecute, impeach, try.	postulo
to ask, examine, search for.	inquiro
to ask.	sciscitor
to assail, usurp, seize, attack, fall upon.	invado
to assemble, bring togethe.	concilio
to assemble.	congrego
to assert, believe, affirm.	autumo
to assert, maintain /shoot (a missile), cast.	contendo
to assert, maintain/ strengthen, make firm / encourage.	firmo
to assert.	obtestor
to assign, allot, grant, hire.	loco
to assist, be present, be near, be in attendance,.	adsum
to assist.	succurro
to associate with, find.	utor
to associate with, have dealings with.	coutor
to at once.	extemplo
to attack first, take, vex, occupy.	preoccupo
to attack, assault.	impugno
to attack, avenge.	infenso
to attack, disquiet.	infesto
to attack, go with, pursue, attend.	prosequor (prosecutus)
to attack, head for.	impeto
to attack, usurp.	invado
to attempt [+ inf.], struggle alone, strive.	molior
to attend, wait upon, assist.	ministro
to attend.	famulo
to attract, delight/ (pass + abl) take delight in.	delecto
to authorize, permit, dismiss.	licentio
to avenge, punish, liberate, deliver, protect.	vindico
to avoid, shun.	vito
to avoid.	devito
to await.	exspecto
to awake, march, go, enter into.	incedo
to awaken /be alert, be watchful /[trans.] work hard at.	evigilo
to awaken, occasion, stir.	excito
to awaken.	expergefacio
to balance, weigh.	trutino
to barter [away].	paciscor
to bathe.	lavo
to batter.	quasso
to bawl out for.	clamito
to bcome cold / to catch cold.	algesco
to be a public crier, to herald, proclaim.	praeconor, preconor
to be a servant, to serve, attend, obey.	famulor
to be a slave, serve, be devoted to.	inservio
to be able to, to succeed in (doing something).	ualeo
to be able, avail, have influence.	possum posse potum
to be able, to be capable.	possum
to be able.	queo
to be above, have the upper hand, surpass, conquer, overcome.	supero
to be absent, be away, be missing, be gone.	absum
to be accustomed to, have the habit of, make a practice of.	solito
to be accustomed, be used to.	soleo
to be active, do.	operor
to be afflicted.	crucio
to be affluent, avail for, to afford, supply, furnish with.	sufficio
to be an informant.	quadruplor
to be angry, to be wrathful.	irascor, iratus
to be appropriate, suitable, fit.	competo
to be ashamed,.	pudeo
to be astounded.	stupeo
to be at the head of, be in charge of.	praesum presum
to be awake, watch, be vigilant /to keep vigil.	vigilo
to be boiling hot, boil, seethe, glow.	ferveo
to be born / to be a consequence or result of something.	orior
to be born again.	regenero
to be born, spring forth.	nascor nasci natus
to be borne.	traduco in passive
to be brought to a standstill, keep at, hesitate.	haero
to be built on/ distinction/distinguished, excellent/excellence.	insigniter
to be classed among, be condemned to.	deputari
to be deceived, to be mistaken.	frustra esse
to be delighted.	laetor
to be diligent, strive after.	studeo
to be dirty, appear vile.	sordeo
to be disgusted at.	taedet se
to be distrustful, distrust, despair.	diffido
to be dreaming.	dormito
to be earnestly engaged in, draw nigh.	insto
to be established, stand firm, stop, endure.	consto
to be failed by, disappointed by something.	fefello
to be free from work, of a master, of property.	vaco
to be hard, persist, endure, last, hold out.	obduro
to be horrified, to shake, shudder /dread, tremble at.	exhorresco
to be hungry, to hunger / long for, desire, yearn.	esurio
to be ignorant of, not know / rarely: neglect, overlook.	ignoro
to be ignorant, be unaware, not know, be unkowing.	nescio
to be ignorant, disregard, not be recognized.	ignoro
to be in an uproar, raise a tumult, [make a] bustle.	tumultuor
to be in heat.	subo
to be in one's service.	facio servitium
to be in the habit of using.	usitor
to be irritated.	succenseo
to be laid open, bare, exposed, to be revealed.	patesco
to be like, equal/ make level or even, relate.	exaequo exequo
to be mastered.	dominor
to be mindful of, recollect .	recordo
to be moved, aroused.	cito
to be near, close at hand, be under, be subject.	subsum subesse
to be old, aged.	seneo
to be one's own master.	esse suae potestatis
to be open, be exposed.	pateo
to be pleasing, agreeable.	libet
to be produced, to be born.	generasco
to be prominent, conspicuous .	emineo
to be punished.	plector
to be ready, to be easy, to be clear.	promptu, in promptu esse
to be reduced to, fall back upon.	redeo
to be renowned.	nominor
to be revealed, to stand open, to be clear, plain.	pateo
to be rich in.	polleo
to be ruined, fail /cut up, cut down, destroy.	concido
to be sad, be grieved.	tristor
to be seen, seem, appear.	videor
to be set over, preside over have charge of.	praesum
to be silent, leave unmentioned.	taceo tacuitacitum
to be silent, say nothing, pass over.	taceo
to be silent.	conticeo
to be sluggish, inert, numb, inactive, immoveable.	torpeo
to be sold, up for sale /a slave.	venalis
to be still, silent/ (+ acc.) be silent about / rest.	sileo
to be strong, have power, be well.	valeo, valui, valiturus
to be strong, powerful, able.	polleo
to be strong.	confortari
to be subject to, comply with.	subservio
to be sufficient, suffice, be enough.	sufficio
to be superfluous, to remain.	supersum
to be terrified, frightened, afraid.	formido
to be there.	subsisto
to be thirsty.	sitio
to be told (Herimann cap. 39, 44).	didico
to be unknown.	latet
to be unlike one's kind, fall off, degenerate.	degenero
to be unsure, uncertain, wavering.	hesito (haesito)
to be unwilling, wish not to, refuse.	nolo, nolle, nolui
to be useful, of benefit, do good.	prosum (profuturus)
to be valued at, be for sale.	liceo
to be very abundant.	superabundo-avi
to be very pleasing to.	complaceo
to be vexed.	moleste fere
to be warmed, be inflamed.	caleo
to be well, be in good health.	salveo
to be well.	salveo
to be without hope, despair / despair of, give up.	despero
to be, exist.	sum fui futurus
to beak, weaken, impari, discourage.	infringo, infregi, infractum
to beam forth.	irradio
to bear, bring forth, produce/ create, make, get.	pario
to bear, suffer, endure.	perfero
to beat ones breast.	plango
to beat, strike, smack, knock, hit.	battuo
to becloud, darken.	caligo
to become acquainted with, get to know.	nosco
to become bright again.	relucesco
to become calm.	quieto
to become dirty.	sordesco
to become dry, arid.	exaresco
to become hot, begin to glow or boil.	fervesco
to become know, noted.	innotesco
to become known.	innotesco
to become lean, skinny, thin.	macresco
to become sick at the same time.	coaegresco
to become soft, flexible, sticky /to weaken, slacken.	lentesco
to become stiff.	derigesco
to become tired, grow weary.	lasesco
to become very much afraid.	pertimesco
to become vigorous.	vigesco
to become violent, become hard.	crudesco
to become visible, appear, manifest.	appareo
to become white.	albeo
to become.	existo
to become: heavy, a burden, weary, pregnant.	ingravesco
to beg by entreaty, to excuse oneself / curse.	deprecor
to beg.	posco
to beget, engender, produce, create.	genero
to beget.	procreo
to beget.	sero
to begin to blossom.	floresco
to begin to bristle, shudder, quiver, shake.	inhorresco
to begin to shake.	horresco
to begin to shine, grow sleek.	nitesco
to begin, start (esp. of speaking).	ordior, ordiri, orsus
to begin, start upon, turn to, start.	incoho, incohare
to begin, undertake,.	coepto
to begin, undertake.	coepio
to begin.	exordior
to begin.	ineo
to begn to shine /to grow fat or sleek.	nitesco
to behold, regard, await, expect.	specto
to believe /trust, commit / trust in, rely on/ think.	credo
to believe unconditionally, accept wholeheartedly.	accredo
to believe, suppose.	reputo
to believe.	credo
to bellow, roar.	rudo
to bend, arch, curve /influence.	curvo
to bend, bow, curve.	inflecto inflexi inflectum
to bend, incline, turn, change / fall back, waver.	inclino
to bend, incline, verge, to draw to an end.	vergo
to bend.	inclino
to bend.	lento
to benefit.	prosum
to bequeath, deliver, surrender, commit.	trado
to beseech, pray, beg, entreat, invoke.	precor
to beset, assail.	circumvenio
to beset.	circumsto
to besmear.	linio
to bestir.	expergescor
to bestow.	impertior
to bestow.	tribuo
to betroth, promise, pledge.	spondeo
to bewail as lost.	conclamo
to bewail, weep for.	defleo
to bewail.	defleo
to bewitch, envy.	fascino
to bind below, bind on.	subligo
to bind fast.	praestringo
to bind on beneath, to tie.	subnecto
to bind together, connect, couple.	iugo
to bind together, draw together.	constrictio
to bind, confine, restrain.	constringo constrixi constrictum
to bind, tie.	ligo
to bind.	colligo
to bind.	subnecto
to blam, censure, accuse.	culpo
to blame, accuse /prove, expose, convict /declare.	arguo
to blame, reprove, refute, hold back, check, catch.	reprehendo
to blaze.	flagro
to bleat.	balo
to bless.	beo
to block, prevent, frustrate.	preoccupo
to bloom.	verno
to blossom, bloom, break out.	effloresco
to blow through or over.	perflo
to blow.	inflo
to blow.	spiro
to blunt.	hebeto
to boil down, boil away /(metals) melt away.	decoquo
to boil up, bubble up, to appear, produce in abundance.	ebullio
to boil up, swarm out (like bees).	effervo
to boil, foam, glow.	ferveo
to bolt, lock, fasten, bar.	obfirmo
to bore through, perforate.	terebro
to bore, pierce, make a hole, penetrate.	foro
to borrow, procure.	mutuo
to both sides, in both directions / at each point.	utroque
to bow.	curvo
to break an oath.	perjuro
to break down.	frango
to break in pieces, shatter.	frango, fracta
to break off, sever, remove, dissociate, separate.	abrumpo
to break open, vent, discharge, erupt.	erumpo
to break out, burst forth / (milit.) attack.	erumpo
to break through, penetrate /shatter.	perfringo
to break to pieces.	dirumpo
to break to pieces.	frusto
to break up, destroy, annihilate /spoil, weaken.	corrumpo
to break up, dismiss, leave, abandon, leave behind.	dimitto
to break up, scatter, dissolve, slip away, fall apart.	dilabor
to break, break open.	effringo, effregi, effractum
to break, shatter, interrupt.	rumpo, rumpi, rumpus
to break, tame [again].	redomo
to breathe /breathe again /recover /decline, diminish, ebb.	respiro
to breathe out, blow out.	efflo
to breathe upon.	inhalo
to bridle, check, restrain, break in.	infreno
to bring again, restore, repeat, echo, reproduce, recall.	refero
to bring as expected, pay up, deliver.	refero
to bring back a message, refer.	refero, retuli, relatum
to bring back, make, reduce.	redigo
to bring forth, bear, beget, father.	gigno (genuit)
to bring forth.	effero
to bring forward, place before, present, offer, expose.	offero
to bring into disorder, confounding, destroy.	confundo
to bring into the world.	produco
to bring news, report / apply, bring to bear.	adfero affero
to bring or reduce to a condition, lessen.	redigo, redactum
to bring to completion, finish, end.	expletio
to bring to naught, destroy, annul, make void.	casso
to bring to nothing, annihilate, demolish.	adnihilo
to bring to pass, to order, to have done.	facio + inf.
to bring to pass.	efficio
to bring together, assemble.	concieo
to bring together, drive, draw.	cogo, coegi, coactum
to bring together, put together, collect/.	confero
to bring together.	construo
to bring up, supply, provide, add, attach. place next.	suggero
to bring up.	enutrio
to bring, fetch, summon, call for.	arcesso, accerso
to bring, give, impart, turn over.	affero, adfero
to bring, lead, conduct.	induco
to bristle.	inhorreo
to brood over, lie in a place, attach oneself to.	incubo
to bruise.	obtero
to build beneath, lay a foundation.	substruo
to build, erect, construct, contrive, toil, struggle.	molior
to built in, set up, construct, furnish /train.	instruo
to burn up, consume /inflame, gall, chafe.	peruro perussi perustum
to burn up, to ruin, consume.	comburo
to burn up.	peruro
to burn with desire, blaze, vacillate [vikings], heave.	aestuo
to burn, scorch, singe. (Hermann, p. 308).	ustilo ustulo
to burst upon.	irrumpo
to bury, inter.	tumulo
to bustle about.	satago
to buy up.	emercor
to buy, purchase.	emo emi emptum
to calculate, count, reckon, esteem, considered.	duco
to call away, call down, call aside.	devoco
to call away, divert.	avoco
to call back, recover, refer, revoke.	revoco
to call into question.	voco in dubium
to call to witness.	testificor
to call together, convene.	convoco
to call upon, ask ernestly, request.	posco
to call, name, summon.	appello
to call, proclaim.	nuncupo
to call, shout, cry aloud, proclaim, declare.	clamo
to call, summon, name invite.	voco
to call.	titulo
to calm smooth sea.	aequor
to cancel, blot out.	oblittero
to capture, overcome, subdue, take by storm, gain.	expugno
to care for, trouble about, pay attention to.	curo
to carry [off], fetch.	deporto
to carry a burden, have a responsibility.	baiulo
to carry away, remove (avexi avectum ).	aveho
to carry away, remove /steal, carry off, make away with.	aufero
to carry back, bring back, return.	refero
to carry in front, display, prefer.	praefero, prefero
to carry in, put or place on.	infero
to carry off by stealth.	subtraho
to carry off, take away.	asporto
to carry off, to take away.	deporto
to carry on, carry forward, advance, promote,.	proveho
to carry out, bring forth/ advance, impell/cite, mention.	profero
to carry out, bury, lift up, exalt.	effero, extuli, elatum
to carry through, complete, accomplish.	peracto
to carry, bear about.	gesto
to carry, bear, wear /bear, give birth to /to carry about.	gero
to carry, bring, tell, relate, and much else.	fero tuli latum
to carry, come.	adveho
to carry, convey.	veho vexi vectum
to carry, esp carry upstream.	subveho
to carry, to bear, to bring.	defero
to carry.	affero
to cast to the ground, pour forth.	fundo
to cast.	jacio
to catch sight of, perceive, behold, understand.	conspicio
to cause to degenerate, disgrace by degeneracy.	degenero
to cause to stand, establish, place, set up.	statuo
to cause, bring about, contribute.	adfero affero
to cease.	finio
to celebrate.	tripudio
to challenge, shake.	lacesso, lacesco
to change, alter /exchange.	muto
to charm, influence, mislead, draw in.	duco
to charm.	lepor
to chatter, babble.	garrio
to check, rein in.	refreno
to check, repress, stop, halt, turn back /silence.	confuto
to check.	retundo
to check.	sisto
to cheer, gladden, make joyful.	laeto leto
to cherish / to warm, keep warm, caress.	foveo, fovi, fotum
to cherish again, refresh, warm.	refoveo
to cherish, encourage, enfold.	foveo
to chew the cud, ruminate.	rumino
to chirp, tweet, pipe.	pipio
to choke, stifle.	suffoco
to choke, suffocate.	praefoco, prefoco
to choose out, esteem highly, prize, love.	diligo
to choose, prefer.	malo, mallui, malus
to choose, take up, apply, employ.	sumo
to claim, defend.	assero
to claim.	vindico
to clean, cleanse, purify/ clear away, wash off/ justify.	purgo
to clean.	mundo
to cleanse, purify, purge.	defaeco
to cleanse.	deluo
to cleanse.	emundo
to clear, settle up, consider, think, believe, suppose, judge.	puto
to cleave to.	cohaero
to climb.	ascendo
to cling to, correspond to.	cohaereo
to close, shut up, close off.	occludo
to clothe, garb, dress.	vestio
to collect in a mass.	coacervo
to collect, compile.	congero
to collect.	coaduno
to collide with, strike against / attack.	incurso
to color.	coloro
to comb back.	repecto
to comb, card, thrash (to card wool).	pecto
to come /happen, come about, come to pass /arise.	venio
to come around, surround, cheat, defraud.	circumvenio
to come back, return.	revenio
to come before, anticipate.	praevenio
to come in haste.	affluo
to come often, to visit frequently.	ventito
to come out.	egredior
to come to [in adiutorium] to ones assistance, succor.	subvenio
to come to a boil, become hot.	infervesco
to come to pass, happen, befall.	evenio
to come to the aid, succor, relieve, help, assist.	subvenio
to come to, arrive at, reach.	devenio
to come to, go before hand, attend.	prevenire
to come to.	pervenio
to come to.	venire contra
to come up to aid, relieve.	subvenio
to come up to, overtake, obtain.	adipiscor
to come upon, find, discover.	invenio
to come, arrive, reach.	advenio
to comfort.	consolo
to command.	impero
to commit oneself to.	se astringo
to commit, entrust, order, command.	mando
to commit.	commendo
to compare, contrast /compete.	contendo
to compare.	comparo
to compel, restrict, confine.	cogo
to complain /contain, measure /need, require.	postulo
to complain excessively, whine, gripe.	queritor
to complain loudly.	conqueror
to complain, lament, bewail (dogs) whine, whimper.	queror
to complete, accomplish, perform.	perpetro
to compose with great labor.	elucubro
to compress /to press around, gather around /attend (a person).	stipo
to conceal, disguise, keep secret.	dissimulo
to conceal.	contego
to conceal.	presso
to conceal.	tego
to concede, yield, allow, grant, withdraw, give up.	concedo
to concern oneself about the future or about others.	sollicito
to concern, meet with, attain.	contingo
to conclude (an agreement)/ to reduce, contract, constrict.	contraho
to concur.	concurro
to condemn, damn.	damno
to condemn, judge, try.	judico
to condemn.	damno
to conduct one's self, walk, live.	gradior
to conduct oneself, conduct, carry on.	se gero
to conduct, lead forth.	conduco
to confess (one's sins), to take a monastic oath.	profiteor
to confess, admit, allow, reveal, make known.	fateor
to confess, own up, admit, acknowledge.	confiteor confessus
to confine, shut up, close, blockade, besiege.	claudo (clausus)
to confine.	coangusto
to confine.	coarto
to confirm, approve, authenticate.	auctorizo
to confirm.	confirmo
to confuse, scatter, throw into confusion, distress.	conturbo
to confute /restrain, check, repress.	confuto
to confute.	redarguo
to congeal, harden, freeze.	congelo
to connect.	annecto
to conquer, subjugate, enthrall, defeat.	evinco
to consecrate, sacrifice, devote /curse, execrate.	devoveo
to consider carefully, weigh, ponder.	consulto
to consider oneself indebted, receive, learn, take.	accipio
to consider, deliberate.	delibero
to consider, perceive.	inspicio
to consider, recall, comtemplate.	recolo
to consider.	expendo
to construct, build, arrange.	construo, construxi, constructum
to construct.	fabrico
to construct.	perstruo
to consult + acc.	consulto
to consume by fire.	cremo
to consume, burn up.	concremo
to contemplate, inspect.	considero
to contend, fight to the finish.	decerto
to contend, settle, dispute, to settle by combat.	certo
to contend, strive, struggle, hasten.	contendo
to contend, struggle.	dimico
to continue, proceed, go on with.	pergo
to contrive/do maliciously.	maligno
to convert.	converto
to convey.	transveho
to cool, grow lukewarm, decrease.	tepesco
to correct.	corrigo
to cough.	tussio
to count, count up, enumerate.	enumero
to count, estimate/prune, cut off.	deputo
to couple.	copulo or copulor
to cover, bury, conceal, hide, protect, shield.	tego, texi, tectum
to cover, shield, protect, defend.	contego
to covet, aim at, desire eagerly.	concupisco
to covet.	concupisco
to cram, stuff, fill.	effercio
to crawl.	repere
to create, make.	creo
to creep out, creep over, creep up.	erepo
to creep up or crawl up from below.	subrepo surrepo
to creep, crawl.	repo, repsi, reptum
to cross a strait, to be taken across a strait.	transfreto
to crouch down, settle, sink, subside.	subsido
to crowd in, press in, trample in / impress upon.	inculco
to crowd, collect in large number, visit.	frequento
to crowd, visit.	frequento
to crown, bind around, encircle, surround.	redimio
to crush .	contero
to cry aloud, shout.	vociferor
to cry out, sing, praise, narrate.	boo, boare
to cry out, utter.	sono
to cry, shed tears.	flere
to cudgel soundly.	diverbero
to cultivate, work again, resume, rehabilitate.	recolo
to curse.	imprecor
to cut away, pare.	subseco
to cut back, cut short, diminish.	reseco
to cut into.	infindo infidi infissum
to cut loose	reseco
to cut off, to separate, take away.	abscido
to cut short, lop, mutilate.	praecido
to cut the throat, butcher, kill, destroy.	iuguolo
to cut through, dissect, cut away.	perseco
to cut, hurt, wound, amputate, divide, part.	seco, secui, sectum
to cut, rend, split/divide, separate.	scindo
to damage.	mulco
to dare. (part. ausus ).	audeo
to dash to pieces.	elido
to deceive, dupe, trick, disappoint.	frustro, frustror
to deceive, dupe.	fallo
to decide beforehand ie plan.	praejudico
to decide, determine, settle / to decide to do something.	decerno
to declaim, orate / speak loudly.	declamo
to declare in public, affirm, bear witness.	protestor, protesto
to declare publicly, profess.	profiteor
to declare, announce, report, give notice.	renuntio
to decrease, grow smaller.	decresco
to dedicate, consecrate, sanctify/ to curse/ deify.	consecro
to dedicate.	consecro
to dedicate.	dedico
to defend diligently.	defenso
to defend, ward off, protect, shelter.	defendo
to defile.	contamino
to defile.	polluo
to define, describe, designate.	designo
to defraud, deprive.	frustro
to defy.	contemno
to deign.	dignor
to delay, impede, hold up.	cunctor
to delay, postpone / to differ, be different.	differo
to delight in/ to love.	delecto
to delight.	exhilaro
to deliver together, or wholly.	contrado
to demand earnestly / to make a claim.	expostulo
to demand, require / desire, strive after, make for.	expeto
to demand.	deposco depoposci
to demand.	desposco
to demolish, destroy, ruin.	diruo
to demolish.	dissipo
to denounce.	detestor
to deny /deny a debt, refuse to return something.	infitior
to deny by oath.	abiuro
to deny, refuse a request, deny something to someone.	nego
to deny, refuse, reject.	renuo
to deny, refuse.	abnego
to deny.	abnuo
to deny.	infitias ire
to depart from, deviate, leave.	discedo
to depart, deviate, digress.	digredior digredi digressus
to depart, set out, to start forward, to arise.	proficiscor
to depart.	intransitive
to depend on/ devote oneself to.	incumbo
to deposit, lay up, store / requite.	repono
to deprecate, intercede?.	deprecor
to deprive.	viduo
to derange.	conturbo
to describe, carry out.	exsequor
to describe, dispose.	dispono
to describe, register, assign.	describo
to desert, foresake, leave.	desolo
to deserve, merit.	promereo, promereor
to deserve.	emereor
to design, point out.	propono
to desire more or much.	praeopto
to desire, long for/to.	cupio
to desire, want, strive for/ breathe, live.	anhelo
to desire, wish for, want.	opto
to desire, wish, long for, desire.	cupio
to desist from.	desisto
to despair.	despero
to destroy, abolish, annul, do away with, obliterate, efface.	aboleo
to destroy, overthrow.	subvertio
to destroy, ruin, demolish, raise, overthrow.	everto
to destroy, ruin, waste, scatter, squander.	perdo
to destroy, ruin, wreck.	pessum dare
to destroy.	diruo
to destroy.	disperdo
to destroy.	perimo peremi peremptum
to determine beforehand, predestine.	praedestino
to determine, to be determined, resolve.	delibero
to detest, curse.	exsecror
to devise, fit out.	struo
to devise.	adinvenio
to devour.	consumo
to devour.	devoro
to devour.	haurio
to die, perish, vanish.	abolesco
to die, wither away, decay.	morior
to differ, to be diifferent, vary, disagree.	discrepo
to dig in, bury.	infodio infodi infossum
to dig out, excavate /to gut.	effodio
to dig up, pull out / raze, demolish.	eruo
to digress / change / vanish, disappear.	abeo
to dine.	ceno
to dine.	epulor
to direct, address, apply / to throw to.	adicio
to direct, try, attempt, stretch, extend, present, give.	tendo
to disarm.	exarmo
to disburse.	erogo
to discern, know.	sapio
to discharge one's duties, quit, retire, die, finish.	defungo
to disclose fully, find out with certainty, lay open.	comperio
to disclose, expose, open, make open.	patefacio
to disclose.	indico
to discolor.	inficio
to discuss, speak, declare, utter.	dissero
to disdain.	despicio
to disembowel.	eviscero
to disgrace, dishonor.	inhonesto
to disguise.	dissimulo
to disinherit.	exheredo
to dislike, have an aversion to, loathe.	fastidio
to dismember, cut into pieces, chop up.	conseco
to dismember, disjoint, sever /divide, break up.	discerpo
to dismiss, send away, lose, let slip away.	amitto
to disparage.	vitupero
to display, hurry on.	repraesento
to displease.	offendo
to disregard.	neglego
to dissipate.	discutio
to distinguish, recognize as different.	dignosco dignosco
to distribute, divide.	distribuo
to disturb, trouble, perturb, disrupt.	perturbo
to disturb, upset, throw into disorder, confuse, unsettle.	turbo
to dive.	urino
to divest, strip off.	exuo
to divide, scatter.	divido
to divide.	dispertio
to divide.	distinguo
to do battle.	praelior
to do one thing and then another.	alterno
to do penance.	penitio
to do thoroughly, accomplish, bring.	perficio, perfeci, perfectum
to do wrong to, injure, hurt, harm.	misfacio
to do wrong, err, sin, go astray.	pecco
to do, perform, display, fulfill, offer, present.	praesto presto
to do, produce, effect, make/ bring about, cause /prove.	efficio
to do/contrive evil.	maligo
to double.	gemino
to doubt, hesitate.	dubito
to drag off.	detraho
to drag, forcibly conduct, entice, allure.	pertraho
to drag, handle /treat, discuss, deal with.	tracto
to drag, pull /derive, get.	traho, traxi, tractum
to draw back, pull back.	retraho, retraxi, retractum
to draw back, set aside, take away.	removeo
to draw blood, let blood, to bleed (someone).	minuo
to draw forth.	extraho
to draw out, draw on, produce, recall to the colors.	evoco
to draw out, lead out, march out/bring up, rear/ issue.	educo
to draw out, rpotact, defer, make known.	protraho (protractus)
to draw over, cover/ lead against / pass, spend.	obduco
to draw together, bind up.	substringo
to draw together, tighten, compress, compact /.	adstringo
to draw up.	instruo
to draw, shape, construct/ (time) spend, delay.	duco
to dread.	paveo
to dream /(+ acc.) to dream of, imagine foolishly.	somnio
to dream /+ acc.to imagine foolishly.	somnio
to drench.	perfundo
to drink up, suck in.	combibo
to drink, quaff.	bibo
to drive against, strike upon.	impello
to drive away, thrust out.	exturbo
to drive back, repel.	repello
to drive before one, drive away.	propello
to drive off, drive away, rustle cattle, steal.	abigo
to drive out, expel, force out, banish.	expello (expuli expulsum )
to drive out.	extrudo
to drive together, collect, force, compel.	compello
to drive, beset, urge.	urgeo
to drive, move towards/ [passive] to land.	appello
to dwell, abide.	habito
to earn.	promereor
to earnestly request.	deposco
to eat breakfast.	iento
to eat breakfast.	iento
to eat greedily, swallow up, consume, gorge oneself.	voro
to eat lunch.	prandio
to eat up, consume /waste, squander.	comedo, comedi, comesum
to eat, consume, devour, waste.	edo edi essum
to effect, perform.	patro
to eject.	expello
to elect.	eligo
to elevate, surpass.	excello
to embark.	conscendo navem
to embellish.	honesto
to embrace, surround.	amplector
to embrace, take firmly, include, seize.	comprehendo
to emerge, appear, exist, be.	exsisto
to emerge, be/ happen, take place.	exsisto
to encounter, meet.	obvio
to encourage, incite, exhort.	cohortor
to encourage.	exhorto
to endeavor.	nitor
to endure, undergo.	perfero, pertulit
to endure.	perpetior
to enfeeble.	resolvo
to engender, beget.	genero
to engender, bring forth.	progigno, progenui, progenitum
to engrave.	insigno
to enjoin.	indico
to enjoy, delight in, use.	fruor
to enlarge, accumulate.	exaggero
to enlarge, extend/ delay, postpone.	profero
to enlarge, increase, improve.	amplio
to enlarge, lengthen, extend /put off, defer.	prolato
to enrich, endow, make wealthy.	dito
to enrich, make wealthy.	dito
to enrich, make wealthy.	locupleto
to ensnare, deceive.	decipio
to entangle, ensnare, hinder, prevent, obstruct.	impedo
to entangle, hold fast.	impedio
to entangle.	intrico
to enter upon [a journey] tread; (with d.) follow.	insisto
to enter upon, begin on /(with inf.) to begin to.	ingredior
to enter, go in /begin, commence, undertake, start.	ineo
to entice, allure.	prolecto
to entreat for, beg for /intercede /curse.	deprecor
to entreat.	exposco
to entrust, commit.	comitto
to envy, be jealous of, look upon with envy.	invideo
to envy, refuse.	invideo
to equip, adorn.	exorno
to equip, furnish, embellish.	adorno
to equip, furnish, supply / decorate, adorn.	orno
to erect, raise, set up / arouse, encourage, incite.	erigo
to escape.	evado
to escape.	subterfugio
to escort, bring away.	deduco
to establish, appoint.	constituo
to establish, cause, occasion.	indo (past indidi)
to establish, found, institute.	instituo
to estimate, guess, reckon.	aestimo
to exact.	exigo
to exalt.	attollo
to exalt.	extollo
to exalt.	sublimo
to examine, explore, investigate, root up.	rimor
to examine, inquire, learn.	cognosco
